VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4JJXN69P,Grant,Ephrata,WA,98823,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,13,240642909,POINT (-119.55513 47.31936),PUD NO 2 OF GRANT COUNTY,53025010401
5YJSA1E26J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,1,293081484,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913
1N4AZ0CP5D,Snohomish,Monroe,WA,98272,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,39,170263488,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052204
1N4AZ0CP6D,Yakima,Yakima,WA,98908,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14,256187235,POINT (-120.6027202 46.5965625),PACIFICORP,53077002801
WBY2Z6C50K,Yakima,Yakima,WA,98901,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,15,211250833,POINT (-120.500225 46.6043),PACIFICORP,53077001601
5YJ3E1EA4L,Yakima,Moxee,WA,98936,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,15,106947732,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
1N4AZ0CP2G,Kitsap,Olalla,WA,98359,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26,225541921,POINT (-122.54483 47.41801),PUGET SOUND ENERGY INC,53035092802
WMEEJ9AAXG,Snohomish,Mill Creek,WA,98012,2016,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,44,253431384,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052008
5YJSA1E2XH,Stevens,Chewelah,WA,99109,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,7,241186081,POINT (-117.722145 48.27719),AVISTA CORP,53065950800
KMHC85LJ6L,Thurston,Lacey,WA,98503,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,22,259945773,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300
5YJYGDEE3M,Island,Freeland,WA,98249,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,259712197,POINT (-122.544745 48.03024),PUGET SOUND ENERGY INC,53029971302
5YJ3E1EA8K,Snohomish,Mukilteo,WA,98275,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,312509438,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041901
1G1FW6S02J,Spokane,Spokane,WA,99202,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,3,180528435,POINT (-117.383045 47.661935),MODERN ELECTRIC WATER COMPANY,53063003000
5YJ3E1EA0J,Thurston,Olympia,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,282440980,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011628
